"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2017263541","4/23/2017 12:00:00 AM","4/23/2017 12:00:00 AM","4/23/2017 12:00:00 AM","2262 S BROADWAY ST                                ","3144351.00","1671325.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017263872","4/22/2017 12:00:00 AM","4/22/2017 12:00:00 AM","4/23/2017 12:00:00 AM","4660 N PEORIA ST                                  ","3183945.00","1710032.00","5","521","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2017267756","4/25/2017 12:00:00 AM","4/25/2017 12:00:00 AM","4/25/2017 12:00:00 AM","2251 S BROADWAY ST                                ","3144111.00","1671448.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017277748","4/29/2017 12:00:00 AM","4/29/2017 12:00:00 AM","4/29/2017 12:00:00 AM","2035 N PERRY ST                                   ","3129450.00","1697774.00","1","121","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017281447","5/1/2017 12:00:00 AM","1/1/1900 12:00:00 AM","5/1/2017 12:00:00 AM","1080 N SHERIDAN BLVD                              ","3125756.00","1692488.00","1","122","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2017283736","5/1/2017 12:00:00 AM","1/1/1900 12:00:00 AM","5/2/2017 12:00:00 AM","E 17TH AVE / N GRANT ST                           ","3145218.00","1696029.00","6","621","1313","ASSAULT - SIMPLE","Simple Assault","NON-INDUSTRY","","","",""
"201728896","1/14/2017 12:00:00 AM","1/14/2017 12:00:00 AM","1/14/2017 12:00:00 AM","505 W 40TH AVE                                    ","3142219.00","1706451.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017302041","5/7/2017 12:00:00 AM","1/1/1900 12:00:00 AM","5/9/2017 12:00:00 AM","2190 S JASON ST                                   ","3140990.00","1671796.00","4","422","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2017306393","5/11/2017 12:00:00 AM","1/1/1900 12:00:00 AM","5/11/2017 12:00:00 AM","22 S GALAPAGO ST                                  ","3141743.00","1686126.00","3","311","1208    ","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2017325694","2/4/2017 12:00:00 AM","5/4/2017 12:00:00 AM","5/19/2017 12:00:00 AM","1178 S KALAMATH ST                                ","3140643.00","1678536.00","4","422","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2017327174","5/20/2017 12:00:00 AM","1/1/1900 12:00:00 AM","5/20/2017 12:00:00 AM","830 N WYANDOT ST                                  ","3136846.00","1691184.00","1","123","5707    ","CRIMINAL TRESPASSING","All Other Crimes","INDUSTRY","","","",""
"2017342503","5/26/2017 12:00:00 AM","5/26/2017 12:00:00 AM","5/26/2017 12:00:00 AM","970 S ONEIDA ST                                   ","3166714.00","1679991.00","3","322","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017359334","6/2/2017 12:00:00 AM","1/1/1900 12:00:00 AM","6/5/2017 12:00:00 AM","879 N FEDERAL BLVD                                ","3133482.00","1691405.00","1","122","7399    ","PUBLIC ORDER CRIMES - OTHER","All Other Crimes","INDUSTRY","","","",""
"2017390304","6/15/2017 12:00:00 AM","6/15/2017 12:00:00 AM","6/15/2017 12:00:00 AM","2268 S DELAWARE ST                                ","3143012.00","1671321.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017390334","6/15/2017 12:00:00 AM","6/15/2017 12:00:00 AM","6/15/2017 12:00:00 AM","183 W ALAMEDA AVE                                 ","3142935.00","1684445.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017393615","6/16/2017 12:00:00 AM","6/16/2017 12:00:00 AM","6/16/2017 12:00:00 AM","4 S SANTA FE DR                                   ","3141148.00","1686225.00","3","311","2203    ","BURG/AUTO THEFT-BUSN W/ FORCE","Burglary","INDUSTRY","","","",""
"2017395592","6/17/2017 12:00:00 AM","6/17/2017 12:00:00 AM","6/17/2017 12:00:00 AM","3435 S YOSEMITE ST                                ","3173094.00","1663999.00","3","323","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
